,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,to_away
121,0.453,0.958,0.353,25.0,49.0,16.0
122,0.489,0.714,0.361,27.0,49.0,13.0
123,0.448,0.778,0.472,23.0,39.0,19.0
124,0.392,0.773,0.35,23.0,45.0,11.0
125,0.44,0.692,0.351,28.0,41.0,11.0
126,0.478,0.611,0.385,26.0,47.0,11.0
127,0.506,0.667,0.258,24.0,43.0,19.0
128,0.521,0.8,0.514,38.0,45.0,19.0
129,0.432,0.9,0.395,18.0,48.0,14.0
130,0.467,0.724,0.429,28.0,46.0,14.0
131,0.349,0.75,0.229,17.0,39.0,20.0
132,0.542,0.727,0.385,34.0,51.0,10.0
133,0.442,0.842,0.36,17.0,39.0,18.0
134,0.44,0.833,0.303,22.0,44.0,15.0
135,0.43,0.786,0.393,27.0,50.0,19.0
136,0.517,0.667,0.344,31.0,46.0,9.0
137,0.47,0.789,0.375,24.0,47.0,14.0
138,0.487,0.808,0.393,23.0,29.0,16.0
139,0.516,0.8,0.423,26.0,42.0,21.0
140,0.44,0.9,0.107,17.0,45.0,15.0
141,0.482,0.774,0.4,19.0,49.0,13.0
142,0.453,0.743,0.364,23.0,56.0,4.0
143,0.529,0.538,0.375,31.0,33.0,15.0
144,0.475,0.722,0.314,19.0,50.0,16.0
145,0.437,0.733,0.292,16.0,43.0,13.0
146,0.494,0.667,0.348,19.0,40.0,17.0
147,0.542,0.75,0.423,32.0,44.0,9.0
148,0.44,0.882,0.424,23.0,42.0,12.0
149,0.435,0.962,0.286,25.0,53.0,12.0
150,0.494,0.791,0.333,19.0,41.0,17.0
151,0.435,0.818,0.353,25.0,35.0,24.0
152,0.462,0.667,0.333,28.0,44.0,19.0
153,0.535,0.483,0.413,25.0,30.0,13.0
154,0.416,0.833,0.231,19.0,30.0,16.0
155,0.543,0.789,0.25,25.0,49.0,18.0
156,0.522,1.0,0.45,25.0,32.0,15.0
157,0.438,0.676,0.25,19.0,51.0,14.0
158,0.433,0.808,0.286,23.0,52.0,7.0
159,0.425,0.6,0.346,17.0,59.0,24.0
160,0.477,0.684,0.289,29.0,30.0,16.0
161,0.446,0.76,0.27,27.0,44.0,11.0
162,0.42,0.778,0.293,18.0,39.0,14.0
163,0.5,0.818,0.16,21.0,35.0,13.0
164,0.398,0.778,0.333,16.0,39.0,18.0
165,0.4,0.733,0.324,28.0,47.0,18.0
166,0.467,0.81,0.333,21.0,45.0,10.0
167,0.563,0.762,0.457,31.0,51.0,16.0
168,0.477,0.783,0.256,27.0,50.0,18.0
