Player Name,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,STL,BLK,TOV
Marcus Banks,6.323275862068965,0.4389140271493212,0.7711757269279393,0.3356890459363957,2.2349137931034484,1.5452586206896552,0.7435344827586207,0.1788793103448276,1.3060344827586208
Bernard King,22.40813464235624,0.5231278444352503,0.7586523034609214,0.1716417910447761,3.330995792426368,5.105189340813464,0.8779803646563815,0.217391304347826,3.0252454417952315
Dejounte Murray,13.97969543147208,0.457516339869281,0.7844727694090382,0.3349236641221374,5.0456852791878175,5.860406091370559,1.4390862944162437,0.2614213197969543,1.9137055837563453
Greg Anthony,7.308445532435741,0.4013397129186603,0.728515625,0.3443223443223443,4.013463892288861,1.8959608323133408,1.179926560587515,0.1028151774785801,1.3916768665850674
Tony Campbell,11.353253652058433,0.4546910449753102,0.7894486692015209,0.2534246575342466,1.4621513944223108,3.058432934926959,0.8393094289508632,0.2284196547144754,1.549800796812749
DerMarr Johnson,6.165697674418604,0.4113247863247863,0.7892030848329049,0.3361963190184049,0.8837209302325582,2.23546511627907,0.5755813953488372,0.4331395348837209,1.0145348837209305
Kenny Walker,6.982142857142857,0.4851330203442879,0.7488317757009346,0.2058823529411764,0.6674107142857143,4.002232142857143,0.5245535714285714,0.6674107142857143,0.7834821428571429
Otto Porter Jr.,10.79026845637584,0.4740072894686361,0.8014354066985646,0.3973799126637554,1.5939597315436242,5.093959731543624,1.139261744966443,0.4211409395973154,0.8171140939597316
Devean George,5.612698412698412,0.3922619047619047,0.7210365853658537,0.3426966292134831,0.861904761904762,3.134920634920635,0.692063492063492,0.365079365079365,0.7095238095238096
Ryan Arcidiacono,4.11284046692607,0.4160997732426303,0.8072289156626506,0.3720472440944882,1.96887159533074,1.7859922178988328,0.4863813229571984,0.0272373540856031,0.5447470817120622
Greg Dreiling,2.1392405063291138,0.4669987546699875,0.6492537313432836,0.3333333333333333,0.3924050632911392,2.147679324894515,0.1729957805907173,0.2890295358649789,0.5274261603375527
Keith McLeod,5.387096774193548,0.3615257048092869,0.8138075313807531,0.2952755905511811,2.524193548387097,1.2540322580645162,0.6814516129032258,0.1290322580645161,1.1935483870967742
Dwayne Bacon,7.260869565217392,0.4023960535588443,0.78,0.3143564356435643,1.1111111111111112,2.5942028985507246,0.463768115942029,0.0676328502415458,0.5990338164251208
Reggie Theus,18.08917954815696,0.4646191646191646,0.8278041074249605,0.2512626262626262,6.462544589774079,3.131985731272295,1.1022592152199762,0.2259215219976219,3.256837098692033
Matt Bullard,5.317073170731708,0.4179566563467492,0.767515923566879,0.3837283792440743,0.8699186991869918,1.9886178861788617,0.3024390243902439,0.1934959349593495,0.5186991869918699
Rudy Gobert,12.527165932452275,0.6539577289680896,0.6387449625791595,0.0,1.3127753303964758,11.649045521292216,0.6872246696035242,2.13215859030837,1.659324522760646
Predrag Drobnjak,7.866906474820144,0.4249411764705882,0.799492385786802,0.3402061855670103,0.8093525179856115,3.5,0.4748201438848921,0.420863309352518,0.8705035971223022
Jordan Nwora,8.064814814814815,0.4277067921990585,0.7958333333333333,0.3924050632911392,1.1203703703703705,3.4212962962962963,0.4166666666666667,0.2453703703703703,0.9861111111111112
Shake Milton,9.32283464566929,0.4553433144037171,0.8283752860411899,0.3650075414781297,2.732283464566929,2.377952755905512,0.4724409448818897,0.2480314960629921,1.15748031496063
Toni Kukoc,11.74870734229576,0.4455865211401928,0.7232142857142857,0.3367875647668393,3.705274043433299,4.226473629782833,0.9741468459152016,0.3402275077559462,1.8624612202688728
Georges Niang,6.511749347258486,0.4381188118811881,0.8715083798882681,0.4031227821149751,0.8485639686684073,2.0992167101827675,0.3080939947780678,0.1201044386422976,0.587467362924282
