,result
499,-7.0
500,33.0
501,-9.0
502,-16.0
503,8.0
504,2.0
505,-17.0
506,-14.0
507,-3.0
508,32.0
509,-2.0
510,-9.0
511,-9.0
512,17.0
513,18.0
514,16.0
515,-3.0
516,6.0
517,-5.0
518,10.0
519,-29.0
520,-3.0
521,-15.0
522,-25.0
523,1.0
524,-6.0
525,-2.0
526,-4.0
527,21.0
528,-10.0
529,-4.0
530,-17.0
531,-19.0
532,12.0
533,-11.0
534,-30.0
535,5.0
536,9.0
537,41.0
538,32.0
539,38.0
540,-5.0
541,-9.0
542,-13.0
543,10.0
544,-10.0
545,16.0
546,19.0
547,-12.0
548,-4.0
549,-8.0
550,10.0
551,-13.0
552,10.0
553,20.0
554,-9.0
555,-6.0
556,9.0
557,-25.0
558,25.0
559,11.0
560,28.0
561,-33.0
562,-13.0
563,14.0
564,-9.0
565,27.0
566,-3.0
567,39.0
568,35.0
569,30.0
570,-8.0
571,3.0
572,10.0
573,8.0
574,2.0
575,30.0
576,20.0
577,9.0
578,16.0
579,20.0
580,23.0
581,5.0
582,14.0
583,7.0
584,-12.0
585,-1.0
586,-8.0
587,-35.0
588,-6.0
589,-2.0
590,16.0
591,4.0
592,3.0
593,2.0
594,15.0
595,-4.0
596,-15.0
597,25.0
598,-24.0
599,5.0
600,-24.0
601,15.0
602,8.0
603,1.0
604,-6.0
605,1.0
606,1.0
607,-30.0
608,-3.0
609,-9.0
610,-8.0
611,-5.0
612,7.0
613,-3.0
614,-4.0
615,10.0
616,28.0
617,-11.0
618,15.0
619,6.0
620,20.0
621,24.0
622,1.0
623,7.0
624,11.0
625,-6.0
626,-13.0
627,20.0
628,16.0
629,-6.0
630,-4.0
631,29.0
632,10.0
633,7.0
634,5.0
635,8.0
636,16.0
637,18.0
638,-16.0
639,-29.0
640,11.0
641,14.0
642,12.0
643,-4.0
644,10.0
645,-5.0
646,50.0
647,-21.0
648,-7.0
649,-31.0
650,13.0
651,27.0
652,-6.0
653,19.0
654,-30.0
655,-22.0
656,11.0
657,2.0
658,4.0
659,-16.0
660,50.0
661,-6.0
662,19.0
663,27.0
664,5.0
665,6.0
666,6.0
667,33.0
668,13.0
669,16.0
670,-18.0
671,-12.0
672,15.0
673,-23.0
674,36.0
675,4.0
676,-9.0
677,5.0
678,13.0
679,29.0
680,10.0
681,-21.0
682,-18.0
683,4.0
684,-19.0
685,6.0
686,-14.0
687,11.0
688,42.0
689,-6.0
690,-11.0
691,-4.0
692,-4.0
693,-30.0
694,-5.0
695,-7.0
696,21.0
697,21.0
698,-19.0
699,19.0
700,30.0
701,-18.0
702,7.0
703,-18.0
704,4.0
705,-13.0
706,32.0
707,5.0
708,-5.0
709,8.0
710,-34.0
711,-9.0
712,19.0
713,-6.0
714,-3.0
715,8.0
716,24.0
717,-1.0
718,5.0
719,13.0
720,-8.0
721,-7.0
722,17.0
723,-8.0
724,-11.0
725,23.0
726,-3.0
727,-18.0
728,-1.0
729,-4.0
730,-10.0
731,-2.0
732,-13.0
733,7.0
734,18.0
735,6.0
736,-4.0
737,6.0
738,-9.0
739,23.0
740,5.0
741,3.0
742,-3.0
743,28.0
744,-3.0
745,-2.0
746,22.0
747,8.0
748,10.0
749,8.0
750,-9.0
751,14.0
752,-4.0
753,-4.0
754,40.0
755,-4.0
756,-15.0
757,25.0
758,6.0
759,-17.0
760,6.0
761,-3.0
762,11.0
763,-8.0
764,21.0
765,-19.0
766,-25.0
767,13.0
768,30.0
769,12.0
770,17.0
771,-10.0
772,-15.0
773,21.0
774,-1.0
775,28.0
776,-14.0
777,12.0
778,-9.0
779,16.0
780,19.0
781,-5.0
782,-37.0
783,4.0
784,-6.0
785,28.0
786,12.0
787,3.0
788,-11.0
789,-4.0
790,7.0
791,8.0
792,14.0
793,18.0
794,-9.0
795,2.0
796,31.0
797,-24.0
798,-5.0
799,5.0
800,-3.0
801,-15.0
802,-20.0
803,-5.0
804,-2.0
805,19.0
806,21.0
807,4.0
808,8.0
809,10.0
810,15.0
811,5.0
812,3.0
813,3.0
814,-5.0
815,12.0
816,-3.0
817,-33.0
818,29.0
819,27.0
820,-29.0
821,-14.0
822,10.0
823,-4.0
824,-18.0
825,-2.0
826,30.0
827,-17.0
828,20.0
829,2.0
830,15.0
831,-22.0
832,-9.0
833,-3.0
834,-33.0
835,-42.0
836,7.0
837,-16.0
838,9.0
839,9.0
840,-4.0
841,-18.0
842,-10.0
843,14.0
844,9.0
845,-6.0
846,-11.0
847,3.0
848,-4.0
849,-3.0
850,-2.0
851,3.0
852,25.0
853,-7.0
854,29.0
855,-9.0
856,10.0
857,-11.0
858,13.0
859,-12.0
860,9.0
861,9.0
862,8.0
863,6.0
864,11.0
865,12.0
866,-13.0
867,4.0
868,-22.0
869,2.0
870,-5.0
871,13.0
872,-29.0
